Kadmiummättad It:60 average:10
Integration time [ms]:  60,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
322,868;   47,400;   -2,453;    0,000
322,886;   82,400;   11,033;    0,000
322,905;   52,400;   12,107;    0,000
322,924;   30,700;    2,503;    0,000
322,942;   -7,600;  -12,007;    0,000
322,961;   72,000;   18,873;    0,000
322,979;   47,100;   12,050;    0,000
322,998;   35,100;   -3,860;    0,000
323,017;   32,600;   -8,267;    0,000
323,035;   23,000;   -5,440;    0,000
323,054;   43,400;    2,780;    0,000
323,072;   72,700;    8,297;    0,000
323,091;   32,000;   -4,593;    0,000
323,110;   55,500;    4,050;    0,000
323,128;   76,000;   13,587;    0,000
323,147;   69,400;    7,557;    0,000
323,165;   83,300;    8,153;    0,000
323,184;  129,100;   31,337;    0,000
323,202;   70,700;   -0,077;    0,000
323,221;   57,300;    7,993;    0,000
323,240;   35,600;   -5,963;    0,000
323,258;  107,600;   28,250;    0,000
323,277;   54,800;  -12,367;    0,000
323,295;   92,300;   19,503;    0,000
323,314;   93,700;    1,957;    0,000
323,332;   77,000;   -1,027;    0,000
323,351;   63,200;   -9,710;    0,000
323,369;   91,700;    9,370;    0,000
323,388;   58,400;  -13,757;    0,000
323,407;  108,400;   18,343;    0,000
323,425;   50,000;   -5,157;    0,000
323,444;   78,000;   11,633;    0,000
323,462;   92,500;    1,930;    0,000
323,481;   83,800;   11,927;    0,000
323,499;   96,200;   13,590;    0,000
323,518;   71,400;   -1,067;    0,000
323,536;  118,700;   17,087;    0,000
323,555;   76,300;    7,787;    0,000
323,573;   52,000;   -9,820;    0,000
323,592;  121,200;   10,080;    0,000
323,610;   32,100;  -13,563;    0,000
323,629;  131,500;   18,117;    0,000
323,647;   44,500;  -11,017;    0,000
323,666;  112,600;    6,037;    0,000
323,684;   88,100;  -11,883;    0,000
323,703;  130,200;    9,903;    0,000
323,721;   89,700;   -5,790;    0,000
323,740;  156,300;   31,863;    0,000
323,758;  168,300;   30,943;    0,000
323,777;  141,900;    7,210;    0,000
323,795;   98,600;   -5,693;    0,000
323,814;  156,700;   16,883;    0,000
323,832;  105,700;   -4,337;    0,000
323,851;  178,500;   12,433;    0,000
323,869;  127,900;    0,183;    0,000
323,888;  160,900;   15,253;    0,000
323,906;  101,400;   -3,187;    0,000
323,925;  165,800;   22,667;    0,000
323,943;  134,100;   -1,803;    0,000
323,962;  149,000;   17,687;    0,000
323,980;  120,000;   -4,157;    0,000
323,999;  143,600;   -2,290;    0,000
324,017;  140,200;   -3,927;    0,000
324,036;  180,400;    5,453;    0,000
324,054;  139,300;   -5,307;    0,000
324,073;  245,000;   29,950;    0,000
324,091;  140,000;  -13,270;    0,000
324,109;  188,200;    1,797;    0,000
324,128;  196,100;   -6,497;    0,000
324,146;  229,300;   25,737;    0,000
324,165;  142,100;  -11,483;    0,000
324,183;  195,100;    9,750;    0,000
324,202;  205,500;    2,193;    0,000
324,220;  221,100;   -2,957;    0,000
324,239;  221,600;  -13,877;    0,000
324,257;  272,400;    5,890;    0,000
324,275;  383,200;   -5,790;    0,000
324,294;  371,300;  -10,560;    0,000
324,312;  315,900;    2,310;    0,000
324,331;  289,000;   -0,033;    0,000
324,349;  253,000;   -6,573;    0,000
324,368;  274,500;    2,197;    0,000
324,386;  236,400;   -7,260;    0,000
324,404;  313,800;   14,870;    0,000
324,423;  327,400;   -1,103;    0,000
324,441;  359,100;   19,927;    0,000
324,460;  323,500;   -4,107;    0,000
324,478;  314,900;    4,947;    0,000
324,496;  369,400;   20,720;    0,000
324,515;  308,200;    3,933;    0,000
324,533;  300,900;  -10,297;    0,000
324,552;  430,600;   32,477;    0,000
324,570;  442,500;   -4,223;    0,000
324,588;  521,900;   35,837;    0,000
324,607;  541,600;   -0,853;    0,000
324,625;  596,700;    0,010;    0,000
324,644;  619,500;    7,603;    0,000
324,662;  572,600;   18,927;    0,000
324,680;  513,900;   -9,363;    0,000
324,699;  595,400;   -2,947;    0,000
324,717;  647,300;   -5,643;    0,000
324,735;  738,300;    1,060;    0,000
324,754;  865,500;   -9,277;    0,000
324,772; 1047,500;   23,090;    0,000
324,791;  814,200;   -5,557;    0,000
324,809;  628,500;    2,347;    0,000
324,827;  700,100;   -7,777;    0,000
324,846;  706,800;   -5,043;    0,000
324,864;  811,700;    9,607;    0,000
324,882;  857,000;  -11,753;    0,000
324,901;  801,300;  -17,297;    0,000
324,919; 1005,600;    9,197;    0,000
324,937; 1152,000;  -21,340;    0,000
324,956; 1255,100;    5,740;    0,000
324,974; 1132,500;   -2,127;    0,000
324,992; 1118,100;   -0,757;    0,000
325,011; 1333,600;   -2,233;    0,000
325,029; 1244,500;    2,023;    0,000
325,047; 1144,600;  -10,957;    0,000
325,066; 1172,500;    1,337;    0,000
325,084;  956,000;  -15,690;    0,000
325,102;  778,400;    1,420;    0,000
325,121;  744,100;    8,287;    0,000
325,139;  800,900;    7,513;    0,000
325,157; 1016,900;  -13,693;    0,000
325,176; 1705,700;   16,123;    0,000
325,194; 3064,100;  -11,560;    0,000
325,212; 5762,500;   -2,473;    0,000
325,231; 8625,000;   -4,510;    0,000
325,249; 8966,100;    5,530;    0,000
325,267; 5401,400;   -3,410;    0,000
325,285; 2883,000;    1,273;    0,000
325,304; 1753,900;    9,777;    0,000
325,322; 1231,000;   12,640;    0,000
325,340; 1057,400;    0,850;    0,000
325,359; 1098,900;   11,493;    0,000
325,377; 1014,300;   -2,447;    0,000
325,395;  834,600;    6,587;    0,000
325,413;  740,100;    6,417;    0,000
325,432;  637,900;    5,500;    0,000
325,450;  562,100;    3,430;    0,000
325,468;  581,200;   19,127;    0,000
325,487;  665,500;    6,350;    0,000
325,505;  669,900;   14,967;    0,000
325,523;  553,800;  -12,000;    0,000
325,541;  452,600;   -1,233;    0,000
325,560;  472,500;  -11,590;    0,000
325,578;  521,900;   14,007;    0,000
325,596;  580,400;   11,823;    0,000
325,614;  554,100;   -9,410;    0,000
325,633;  594,300;   15,117;    0,000
325,651;  554,700;   10,680;    0,000
325,669;  537,100;    3,580;    0,000
325,687;  614,500;    4,833;    0,000
325,706;  681,200;   18,483;    0,000
325,724;  605,900;    7,787;    0,000
325,742;  679,000;   12,753;    0,000
325,760;  768,100;   -4,047;    0,000
325,779;  764,300;  -23,350;    0,000
325,797;  831,700;    8,467;    0,000
325,815;  863,600;  -23,520;    0,000
325,833;  930,100;  -13,637;    0,000
325,852; 1089,900;   -0,600;    0,000
325,870; 1297,200;   11,260;    0,000
325,888; 1549,200;  -16,780;    0,000
325,906; 1973,500;    4,360;    0,000
325,924; 2191,400;   -6,257;    0,000
325,943; 2987,000;    5,793;    0,000
325,961; 4903,400;   15,793;    0,000
325,979; 7905,200;   -6,930;    0,000
325,997;15528,200;  -12,860;    0,000
326,015;41873,100;   -5,190;    0,000
326,034;64558,900;  -17,113;    0,000
326,052;64575,600;    5,340;    0,000
326,070;64558,900;    0,960;    0,000
326,088;64575,600;   16,493;    0,000
326,106;64558,900;    5,373;    0,000
326,125;64575,600;   -8,050;    0,000
326,143;64558,900;   -8,677;    0,000
326,161;64575,600;   16,900;    0,000
326,179;64558,900;   -3,773;    0,000
326,197;64575,600;    0,970;    0,000
326,216;64558,900;  -20,490;    0,000
326,234;64575,600;    2,357;    0,000
326,252;64558,900;   10,237;    0,000
326,270;64575,600;   11,677;    0,000
326,288;64558,900;    7,600;    0,000
326,306;64575,600;   14,950;    0,000
326,325;64558,900;    3,267;    0,000
326,343;64575,600;   11,750;    0,000
326,361;64558,900;  -14,157;    0,000
326,379;64575,600;   15,983;    0,000
326,397;64558,900;   -3,150;    0,000
326,415;64575,600;    3,407;    0,000
326,433;64558,900;  -12,653;    0,000
326,452;64575,600;   17,517;    0,000
326,470;64558,900;  -13,853;    0,000
326,488;64575,600;    5,677;    0,000
326,506;64558,900;    1,197;    0,000
326,524;64575,600;   10,653;    0,000
326,542;64558,900;   13,267;    0,000
326,560; 7181,400;   13,497;    0,000
326,579;61133,100;    1,513;    0,000
326,597; 1084,800;   12,483;    0,000
326,615; 1453,900;   12,160;    0,000
326,633; 1304,600;    7,840;    0,000
326,651; 1213,200;    8,683;    0,000
326,669; 1063,100;    7,623;    0,000
326,687; 1086,400;  -10,273;    0,000
326,705;  995,600;   10,930;    0,000
326,723;  903,500;    5,380;    0,000
326,742;  814,100;   -0,873;    0,000
326,760;  911,400;    5,083;    0,000
326,778;  991,400;    6,513;    0,000
326,796; 1007,700;   -4,543;    0,000
326,814; 1043,000;   -6,673;    0,000
326,832; 1239,700;   -0,813;    0,000
326,850; 1184,200;   -6,603;    0,000
326,868; 1070,700;  -20,503;    0,000
326,886; 1063,100;   14,207;    0,000
326,904; 1015,200;    2,250;    0,000
326,922;  944,200;    5,883;    0,000
326,941; 1013,600;  -11,840;    0,000
326,959; 1214,800;   19,210;    0,000
326,977; 1212,500;   -5,130;    0,000
326,995; 1082,900;    5,887;    0,000
327,013; 1142,100;   -4,420;    0,000
327,031; 1168,200;   -6,423;    0,000
327,049; 1186,400;  -12,397;    0,000
327,067; 1058,300;   -0,473;    0,000
327,085;  856,200;   14,457;    0,000
